lat,xnagb,xnage,xnagd,xnagf,xnagg,xmzke,xmzkg,xmzkh,xmzkb,xmzkc,pi_ctrl,pi_forc,LGM_forc
35.0,0.511962890625,0.7269287109375,0.446685791015625,0.71697998046875,0.704345703125,-0.075103759765625,-0.040313720703125,0.344696044921875,-0.30078125,0.506927490234375,0.61944580078125,288.86524454752606,282.2976888020833
37.0,-0.46694335937502274,-0.18364257812498863,-0.537567138671875,-0.25823974609375,-0.26518554687498863,-2.028472900390625,-1.9042541503906136,-1.612823486328125,-2.4007812500000227,-1.4585998535156364,-0.3252929687500057,287.88890991210934,280.37274576822915
39.0,-1.6574645996093977,-1.2311584472656136,-1.6775146484375227,-1.404388427734375,-1.4240844726562614,-3.9013488769531364,-3.780975341796875,-3.5433166503906364,-4.398809814453102,-3.3983825683593523,-1.4443115234375057,286.7405782063802,278.47938232421876
41.0,-3.1833679199218636,-2.6341735839843636,-3.1063232421875,-2.856964111328125,-2.91400146484375,-5.947332763671852,-5.779193115234364,-5.571282958984398,-6.566851806640614,-5.535894775390602,-2.9087707519531136,285.2834777832031,276.45532633463546
43.0,-4.839245605468761,-4.237530517578136,-4.634368896484375,-4.453295898437489,-4.533557128906239,-8.017144775390648,-7.772314453124977,-7.575408935546875,-8.762829589843761,-7.696514892578136,-4.538388061523449,283.70216674804686,274.43297322591144
45.0,-6.09051513671875,-5.512359619140625,-5.749237060546875,-5.7325439453125,-5.73834228515625,-9.558624267578125,-9.3984375,-9.188568115234375,-10.43060302734375,-9.307525634765625,-5.8014373779296875,282.5025329589844,272.8393859863281
47.0,-7.940100097656227,-7.306378173828136,-7.497259521484352,-7.5870361328125,-7.526721191406239,-12.060089111328125,-11.889013671874977,-11.631121826171864,-12.791540527343727,-11.741925048828136,-7.623239135742182,280.70556844075526,270.36118774414064
49.0,-9.419683837890602,-8.837915039062523,-8.998730468750011,-9.090808105468739,-9.049029541015614,-14.886914062500011,-14.688104248046898,-14.425860595703114,-15.470751953124989,-14.586352539062489,-9.128799438476562,279.1963846842448,267.5543029785156
51.0,-10.663494873046886,-10.110302734375011,-10.2564697265625,-10.329797363281273,-10.328045654296886,-17.50323486328125,-17.254547119140625,-16.984295654296886,-18.029321289062523,-17.16912841796875,-10.386898803710949,277.937803141276,264.9739034016927
53.0,-11.773645019531273,-11.185705566406227,-11.333276367187523,-11.405609130859375,-11.425335693359386,-19.797076416015614,-19.511798095703114,-19.196551513671864,-20.338165283203125,-19.36506347656251,-11.47967529296875,276.8545003255208,262.71945393880213
55.0,-12.82012939453125,-12.18511962890625,-12.3519287109375,-12.435516357421875,-12.441253662109375,-22.080352783203125,-21.847930908203125,-21.431365966796875,-22.578033447265625,-21.595458984375,-12.50262451171875,275.8330078125,260.43471272786456
57.0,-14.199865722656227,-13.55303955078125,-13.716259765625011,-13.775921630859386,-13.798187255859375,-23.995880126953125,-23.827252197265636,-23.359808349609352,-24.509808349609386,-23.387426757812477,-13.876452636718739,274.47911783854164,258.4936157226563
59.0,-16.004022216796898,-15.432904052734386,-15.531579589843773,-15.581689453125023,-15.622296142578136,-26.423361206054665,-26.38336486816405,-25.87574462890626,-27.11726074218751,-25.831826782226585,-15.718463134765642,272.66405232747394,255.9937723795573
61.0,-17.983441162109386,-17.501739501953125,-17.50126953124999,-17.56773681640624,-17.650994873046898,-28.848031616210932,-28.919223022460926,-28.245770263671886,-30.009234619140614,-28.156564331054682,-17.742590332031256,270.6692403157552,253.55025431315107
63.0,-19.945654296874977,-19.55021972656249,-19.456518554687477,-19.556658935546864,-19.688690185546875,-30.9215057373047,-31.109954833984375,-30.1790740966797,-32.57805786132812,-30.004489135742176,-19.747937011718733,268.6752848307292,251.48441772460936
65.0,-21.7548828125,-21.482666015625,-21.3563232421875,-21.478729248046875,-21.606781005859375,-32.46177673339844,-32.902862548828125,-31.827438354492188,-33.999542236328125,-31.433395385742188,-21.6187744140625,266.761962890625,249.82390340169272
67.0,-23.80424804687499,-23.571923828125023,-23.419653320312477,-23.674993896484352,-23.806854248046875,-34.04445495605469,-34.693450927734375,-33.55503845214844,-36.079266357421886,-32.87095642089844,-23.688085937500006,264.60874023437503,248.12361450195314
69.0,-25.428955078125,-25.169342041015625,-24.94648437500001,-25.35063476562499,-25.428991699218727,-36.486172485351574,-36.88543395996095,-36.02412414550781,-38.71016540527344,-34.9465301513672,-25.299148559570312,263.000537109375,245.75601908365886
71.0,-26.730322265624977,-26.512969970703125,-26.216284179687477,-26.661047363281227,-26.7052001953125,-38.880343627929676,-38.777005004882824,-38.30906677246094,-40.963412475585926,-37.12605285644531,-26.62164611816405,261.71506347656253,243.56579081217447
73.0,-27.869531250000023,-27.762261962890648,-27.42451171875001,-27.804711914062523,-27.872125244140648,-40.89591979980469,-40.26600646972656,-40.113186645507824,-42.69378356933595,-39.13215026855468,-27.815896606445335,260.5421244303385,241.79622497558594
75.0,-29.067626953125,-28.998077392578125,-28.6826171875,-29.023193359375,-29.171051025390625,-42.77738952636719,-41.84992980957031,-41.76875305175781,-44.53965759277344,-40.94413757324219,-29.032852172851562,259.2836201985677,240.08923848470053
77.0,-30.29826660156249,-30.391412353515648,-29.959228515625,-30.335595703125023,-30.646783447265648,-44.98378601074219,-44.04350891113282,-44.10984191894531,-46.66401062011718,-43.16425476074218,-30.344839477539068,257.92870483398434,237.84221700032552
79.0,-31.302148437500023,-31.571649169921898,-30.951641845703136,-31.45159912109375,-31.983108520507812,-45.952664184570324,-45.039331054687494,-45.13182983398437,-47.50803527832031,-44.082171630859364,-31.43689880371096,256.78045756022135,236.8466542561849
81.0,-32.0035400390625,-32.43403320312501,-31.792852783203102,-32.334613037109364,-33.00440368652343,-45.566561889648426,-44.681909179687494,-45.010009765625,-47.25925598144531,-43.848590087890614,-32.218786621093756,255.86528422037762,237.135102335612
83.0,-32.580166625976574,-33.12456665039062,-32.61182250976563,-33.08198547363281,-33.747167968750006,-44.47370300292968,-43.597991943359375,-44.31573486328125,-46.57115173339844,-43.05983581542969,-32.8523666381836,255.09558207194013,238.0921193440755
85.0,-33.46321105957031,-34.040008544921875,-33.533477783203125,-33.92500305175781,-34.46002197265625,-44.08799743652344,-43.196563720703125,-44.01641845703125,-46.56315612792969,-42.75785827636719,-33.751609802246094,254.26973978678384,238.4542694091797
87.0,-34.114590454101574,-35.000445556640614,-34.37097778320313,-34.80393371582031,-35.04792480468751,-44.69004821777344,-43.596527099609375,-44.567834472656244,-47.13013610839843,-43.15850524902345,-34.557518005371094,253.5016286214193,237.93645935058592
89.0,-34.277435302734375,-35.240563964843744,-34.58038940429688,-35.0236846923828,-35.194918823242176,-44.840533447265614,-43.6965362548828,-44.705661010742176,-47.27187194824219,-43.258694458007824,-34.75899963378906,253.30957641601563,237.8070190429688
